"id","name","type","combination_number","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"1","Kalender","4D","0870-2870","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"2","Surat Serikat","4D","0876-2876","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"3","Surat Kuasa","4D","0882-2882","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"4","Buah Limau","4D","0894-2894","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"5","Sempoa","4D","0911-2911","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"6","Mayat","4D","0922-2922","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"7","Minuman Kaleng","4D","0928-2928","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"8","Surat Gamdai","4D","0933-2933","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"9","Peti Listrik","4D","0944-2944","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"10","Mie Instan","4D","0956-2956","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"11","Gading","4D","0962-2962","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"12","Sayuran Kaleng","4D","0968-2968","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"13","Bumbu Kari","4D","0974-2974","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"14","Cleansing Milk","4D","0980-2980","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"15","Serbuk Obat","4D","0986-2986","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"16","Jantung","4D","0992-2992","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"17","Baju Singlet","4D","0998-2998","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"18","Empedu","4D","1004-7004","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"19","Roket","4D","1010-7010","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"20","Tanda Anggota","4D","1016-7016","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"21","Lilin","4D","1022-7022","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"22","Kertas Tissue","4D","1028-7028","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"23","Hadiah","4D","1034-7034","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"24","Lotere Palsu","4D","1039-7039","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"25","Perangkap Tikus","4D","1045-7045","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"26","Ikan Kalengan","4D","1057-7057","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"27","Timba","4D","1062-7062","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"28","Pencukur Rambut","4D","1068-7068","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"29","Buku Seks","4D","1074-7074","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"30","Bakul","4D","1080-7080","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"31","Muka (Wajah)","4D","1086-7086","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"32","Kue Tahun Baru","4D","1092-7092","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"33","Bus Mini","4D","1098-7098","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"34","Mandi Uap","4D","1109-7109","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"35","Warung Kecil","4D","1115-7115","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"36","Bintil Jerawat","4D","1127-7127","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"37","Kerongkongan","4D","1138-7138","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"38","Reuni","4D","1159-7159","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
"39","Banyak Koran","4D","1191-7191","1",NULL,NULL,"2021-10-08 17:21:18",NULL,NULL
